535,91,52,56
535,91,52,56
535,90,46,54
533,88,46,54
531,86,45,53
529,84,45,53
527,82,45,53
524,80,45,53
522,79,45,53
519,77,45,53
517,76,44,52
515,74,44,52
518,73,42,51
516,71,41,50
514,70,41,50
513,69,40,49
511,68,40,49
507,69,46,48
505,68,46,48
504,68,46,48
502,68,46,48
500,67,46,48
500,67,46,49
499,66,46,49
497,66,45,48
495,65,45,48
494,66,44,47
492,65,44,47
491,66,46,48
490,66,45,48
488,65,45,47
488,67,46,47
486,66,45,46
485,66,45,46
483,65,44,45
484,67,44,47
482,67,43,46
481,66,43,46
481,68,45,52
480,69,47,61
478,69,48,63
477,68,48,63
476,68,48,63
477,70,49,63
477,72,51,69
477,75,54,75
477,81,59,81
488,88,53,87
496,100,47,83
503,113,42,77
502,121,42,77
502,128,42,71
501,129,42,70
501,129,42,70
500,128,44,70
502,129,44,71
500,130,44,72
493,139,52,72
486,145,57,72
479,151,62,66
478,153,61,65
478,153,61,65
477,153,61,65
477,152,61,65
471,153,69,56
471,155,68,55
470,154,68,55
467,161,68,54
466,160,67,53
466,160,67,53
466,160,66,52
466,160,68,52
465,160,68,51
465,160,67,51
465,161,67,50
463,162,66,50
457,163,68,64
442,170,80,65
431,178,80,65
419,186,78,68
407,195,80,71
398,199,80,71
393,204,80,81
391,213,77,80
391,213,77,80
390,213,77,80
390,212,77,80
389,212,77,80
389,212,76,79
389,212,76,79
380,211,82,81
375,211,82,81
372,214,82,82
372,214,82,82
372,218,82,79
372,218,82,79
372,217,82,79
372,217,82,79
372,216,81,79
372,215,82,79
366,219,89,69
